name,output_dir,all_pass,fail_command,flag_did_nothing
trisolv,affine-no-polymer-loop-fusion,yes,N/A,yes
doitgen,affine-no-polymer-loop-fusion,yes,N/A,yes
correlation,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/conversion/correlation-6-after-conversion.mlir
seidel-2d,affine-no-polymer-loop-fusion,yes,N/A,yes
lu,affine-no-polymer-loop-fusion,yes,N/A,yes
3mm,affine-no-polymer-loop-fusion,yes,N/A,yes
covariance,affine-no-polymer-loop-fusion,yes,N/A,yes
syrk,affine-no-polymer-loop-fusion,yes,N/A,yes
trmm,affine-no-polymer-loop-fusion,yes,N/A,yes
bicg,affine-no-polymer-loop-fusion,yes,N/A,yes
floyd-warshall,affine-no-polymer-loop-fusion,yes,N/A,yes
cholesky,affine-no-polymer-loop-fusion,yes,N/A,yes
jacobi-1d,affine-no-polymer-loop-fusion,yes,N/A,yes
gesummv,affine-no-polymer-loop-fusion,yes,N/A,yes
atax,affine-no-polymer-loop-fusion,yes,N/A,yes
mvt,affine-no-polymer-loop-fusion,yes,N/A,yes
2mm,affine-no-polymer-loop-fusion,yes,N/A,yes
fdtd-2d,affine-no-polymer-loop-fusion,yes,N/A,yes
heat-3d,affine-no-polymer-loop-fusion,yes,N/A,yes
nussinov,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,affine-no-polymer-loop-fusion,yes,N/A,yes
gemm,affine-no-polymer-loop-fusion,yes,N/A,yes
gemver,affine-no-polymer-loop-fusion,yes,N/A,yes
syr2k,affine-no-polymer-loop-fusion,yes,N/A,yes
trisolv,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
doitgen,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
correlation,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/conversion/correlation-6-after-conversion.mlir
seidel-2d,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
lu,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
3mm,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
covariance,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
syrk,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
trmm,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
bicg,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
floyd-warshall,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
cholesky,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
jacobi-1d,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
gesummv,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
atax,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
mvt,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
2mm,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
fdtd-2d,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
heat-3d,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
nussinov,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
gemm,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
gemver,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
syr2k,affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
trisolv,affine-no-polymer-normalize,yes,N/A,yes
doitgen,affine-no-polymer-normalize,yes,N/A,yes
correlation,converted-affine-options-no-polymer/affine-no-polymer-normalize,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-normalize/conversion/correlation-6-after-conversion.mlir
seidel-2d,affine-no-polymer-normalize,yes,N/A,yes
lu,affine-no-polymer-normalize,yes,N/A,yes
3mm,affine-no-polymer-normalize,yes,N/A,yes
covariance,affine-no-polymer-normalize,yes,N/A,yes
syrk,affine-no-polymer-normalize,yes,N/A,yes
trmm,affine-no-polymer-normalize,yes,N/A,yes
bicg,affine-no-polymer-normalize,yes,N/A,yes
floyd-warshall,affine-no-polymer-normalize,yes,N/A,yes
cholesky,affine-no-polymer-normalize,yes,N/A,yes
jacobi-1d,affine-no-polymer-normalize,yes,N/A,yes
gesummv,affine-no-polymer-normalize,yes,N/A,yes
atax,affine-no-polymer-normalize,yes,N/A,yes
mvt,affine-no-polymer-normalize,yes,N/A,yes
2mm,affine-no-polymer-normalize,yes,N/A,yes
fdtd-2d,affine-no-polymer-normalize,yes,N/A,yes
heat-3d,affine-no-polymer-normalize,yes,N/A,yes
nussinov,converted-affine-options-no-polymer/affine-no-polymer-normalize,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
